FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00290 HG00290 0 0 0 1 -0.0117 0.0233 0.0094 0.0152 0.0173 -0.0887 -0.0003 0.0222 0.0014 -0.0300
HG00304 HG00304 0 0 0 1 -0.0109 0.0242 0.0122 0.0139 0.0254 -0.0926 -0.0067 0.0115 -0.0022 -0.0452
HG00306 HG00306 0 0 0 1 -0.0114 0.0254 0.0080 0.0163 0.0193 -0.0648 -0.0021 0.0108 -0.0007 -0.0043
HG00308 HG00308 0 0 0 1 -0.0121 0.0223 0.0129 0.0175 0.0162 -0.0798 0.0085 0.0047 -0.0044 -0.0357
HG00309 HG00309 0 0 0 1 -0.0118 0.0234 0.0135 0.0170 0.0195 -0.0819 0.0069 0.0056 0.0055 -0.0246
HG00310 HG00310 0 0 0 1 -0.0121 0.0250 0.0127 0.0187 0.0169 -0.0689 0.0078 -0.0124 0.0154 -0.0148
HG00311 HG00311 0 0 0 1 -0.0118 0.0256 0.0132 0.0161 0.0088 -0.0569 0.0043 0.0082 0.0043 -0.0090
HG00313 HG00313 0 0 0 1 -0.0124 0.0210 0.0142 0.0174 0.0291 -0.0757 0.0024 0.0174 0.0169 -0.0406
HG00315 HG00315 0 0 0 1 -0.0116 0.0228 0.0123 0.0136 0.0158 -0.0651 0.0112 0.0033 0.0030 -0.0301
HG00318 HG00318 0 0 0 1 -0.0114 0.0238 0.0096 0.0168 0.0178 -0.0719 0.0011 0.0150 0.0045 -0.0173
HG00319 HG00319 0 0 0 1 -0.0116 0.0245 0.0110 0.0143 0.0143 -0.0787 0.0042 0.0149 0.0042 -0.0004
HG00320 HG00320 0 0 0 1 -0.0117 0.0247 0.0124 0.0166 0.0175 -0.0569 0.0068 0.0136 0.0101 -0.0144
HG00321 HG00321 0 0 0 1 -0.0120 0.0223 0.0122 0.0144 0.0220 -0.0756 0.0090 0.0022 -0.0051 -0.0382
HG00323 HG00323 0 0 0 1 -0.0120 0.0235 0.0124 0.0191 0.0245 -0.0873 0.0030 0.0144 -0.0058 -0.0392
HG00324 HG00324 0 0 0 1 -0.0112 0.0228 0.0111 0.0164 0.0308 -0.0925 0.0066 0.0103 0.0110 -0.0346
HG00325 HG00325 0 0 0 1 -0.0127 0.0216 0.0139 0.0161 0.0152 -0.0996 0.0091 0.0076 0.0088 -0.0295
HG00326 HG00326 0 0 0 1 -0.0116 0.0243 0.0142 0.0185 0.0235 -0.0834 0.0024 0.0151 -0.0082 -0.0348
HG00327 HG00327 0 0 0 1 -0.0117 0.0238 0.0102 0.0144 0.0178 -0.0759 0.0153 0.0208 0.0156 -0.0276
HG00328 HG00328 0 0 0 1 -0.0116 0.0251 0.0108 0.0149 0.0108 -0.0776 0.0045 0.0055 0.0225 -0.0213
HG00329 HG00329 0 0 0 1 -0.0117 0.0247 0.0099 0.0168 0.0210 -0.0681 -0.0039 -0.0008 0.0282 -0.0149
