FID IID FA MO SEX AFF PC1 PC2 PC3 PC4 PC5 PC6 PC7 PC8 PC9 PC10
HG00181 HG00181 0 0 0 1 0.0108 -0.0239 0.0087 0.0175 -0.0133 -0.0491 -0.0004 -0.0059 0.0052 0.0100
HG00182 HG00182 0 0 0 1 0.0116 -0.0230 0.0120 0.0147 -0.0183 -0.0824 0.0044 -0.0115 0.0074 0.0074
HG00183 HG00183 0 0 0 1 0.0118 -0.0234 0.0099 0.0164 -0.0189 -0.0801 0.0031 -0.0080 0.0092 0.0153
HG00185 HG00185 0 0 0 1 0.0119 -0.0225 0.0100 0.0175 -0.0190 -0.0882 -0.0000 -0.0097 0.0118 0.0065
HG00186 HG00186 0 0 0 1 0.0119 -0.0233 0.0110 0.0165 -0.0184 -0.0827 0.0022 -0.0121 0.0151 0.0229
HG00187 HG00187 0 0 0 1 0.0113 -0.0229 0.0122 0.0170 -0.0203 -0.0865 0.0040 -0.0121 0.0152 0.0125
HG00188 HG00188 0 0 0 1 0.0116 -0.0241 0.0099 0.0164 -0.0210 -0.0735 0.0025 -0.0059 0.0065 0.0099
HG00189 HG00189 0 0 0 1 0.0119 -0.0229 0.0108 0.0175 -0.0157 -0.0715 0.0011 -0.0053 0.0049 -0.0002
HG00190 HG00190 0 0 0 1 0.0114 -0.0246 0.0097 0.0175 -0.0108 -0.0600 0.0031 -0.0058 0.0028 0.0164
HG00231 HG00231 0 0 0 1 0.0112 -0.0273 0.0094 0.0180 -0.0013 -0.0034 0.0010 0.0045 -0.0061 -0.0109
HG00232 HG00232 0 0 0 1 0.0109 -0.0285 0.0093 0.0174 -0.0028 -0.0079 0.0019 0.0030 -0.0162 -0.0096
HG00233 HG00233 0 0 0 1 0.0107 -0.0282 0.0099 0.0207 0.0027 -0.0052 0.0039 0.0020 0.0013 -0.0109
HG00234 HG00234 0 0 0 1 0.0111 -0.0279 0.0090 0.0196 -0.0004 -0.0070 0.0011 0.0023 -0.0089 -0.0095
HG00235 HG00235 0 0 0 1 0.0110 -0.0276 0.0101 0.0195 0.0012 -0.0105 0.0027 0.0033 -0.0056 -0.0056
HG00236 HG00236 0 0 0 1 0.0104 -0.0280 0.0099 0.0206 -0.0028 -0.0046 0.0050 -0.0008 -0.0053 -0.0145
HG00237 HG00237 0 0 0 1 0.0109 -0.0273 0.0090 0.0196 0.0003 -0.0098 0.0023 0.0033 -0.0031 -0.0130
HG00238 HG00238 0 0 0 1 0.0110 -0.0270 0.0088 0.0181 0.0017 -0.0026 0.0002 0.0041 0.0009 -0.0061
HG00239 HG00239 0 0 0 1 0.0108 -0.0283 0.0089 0.0199 -0.0019 -0.0111 0.0023 0.0052 -0.0045 0.0039
HG00242 HG00242 0 0 0 1 0.0110 -0.0274 0.0111 0.0183 -0.0004 -0.0061 0.0015 0.0037 -0.0037 -0.0120
HG00243 HG00243 0 0 0 1 0.0110 -0.0276 0.0091 0.0176 -0.0013 -0.0068 -0.0007 0.0038 -0.0099 -0.0078
HG00244 HG00244 0 0 0 1 0.0108 -0.0278 0.0100 0.0181 0.0049 -0.0024 0.0001 0.0027 -0.0043 -0.0094
HG00245 HG00245 0 0 0 1 0.0106 -0.0275 0.0096 0.0205 -0.0000 -0.0098 -0.0006 0.0004 -0.0011 -0.0129
HG00246 HG00246 0 0 0 1 0.0109 -0.0272 0.0100 0.0183 0.0001 -0.0058 0.0004 0.0055 0.0027 -0.0059
HG00250 HG00250 0 0 0 1 0.0111 -0.0273 0.0092 0.0180 0.0006 -0.0100 0.0015 -0.0008 -0.0045 -0.0126
HG00251 HG00251 0 0 0 1 0.0110 -0.0274 0.0097 0.0181 -0.0001 -0.0028 0.0029 0.0041 -0.0042 -0.0153
HG00252 HG00252 0 0 0 1 0.0111 -0.0276 0.0099 0.0203 -0.0013 -0.0092 0.0009 0.0020 -0.0046 -0.0028
HG00253 HG00253 0 0 0 1 0.0109 -0.0282 0.0100 0.0196 -0.0035 -0.0073 -0.0009 0.0052 -0.0091 -0.0006
